KANJI,CARA BACA,ARTI INDONESIA
出す　（水を出す）,だす　（みずをだす）,"mengalirkan (misalnya, mengalirkan air)"
出す　（ごみを出す）,だす　（ごみをだす）,"membuang (misalnya, membuang sampah)"
助かる,たすかる,tertolong / sangat membantu
たたく,たたく,mengalahkan
立つ,たつ,berdiri
楽しむ,たのしむ,menikmati
頼む,たのむ,meminta / memohon
頼む,たのむ,memesan (meminta tolong)
貯まる,たまる,mengumpulkan
試す,ためす,mencoba (menguji)
違う,ちがう,berbeda
近づく,ちかづく,mendekati
使い切る,つかいきる,menghabiskan hingga habis
使う／使います,つかう／つかいます,menggunakan
着く／着きます,つく／つきます,tiba / sampai
つく　（電気がつく）,つく　（でんきがつく）,"menyala (misalnya, lampu menyala)"
つく　（ウイルスがつく）,つく　（ウイルスがつく）,"menempel (misalnya, virus menempel)"
つく　（みそ汁がつく）,つく　（みそしるがつく）,disajikan bersama (misalnya disajikan dengan sup miso)
つく　（機能がつく）,つく　（きのうがつく）,"menyertakan / melampirkan (misalnya, fungsi yang disertakan)"
作る,つくる,membuat / menumbuhkan
作る　（会社を作る）,つくる　（かいしゃをつくる）,"membuat / memulai (misalnya, memulai sebuah perusahaan)"
続く,つづく,berlanjut
包む,つつむ,sebagai penutup
つながる,つながる,terhubung
つぶす,つぶす,membongkar
つまる,つまる,menyumbat
積もる　（雪が積もる）,つもる　（ゆきがつもる）,"menumpuk (misalnya, salju menumpuk)"
手伝う,てつだう,membantu
届く,とどく,terkirim / sampai
届く,とどく,sampai / menjangkau
止まる／止まります,とまる／とまります,berhenti (kendaraan)
泊まる,とまる,menginap
止まる　（水が止まる）,とまる　（みずがとまる）,"berhenti (misalnya, air telah berhenti mengalir)"
取り出す,とりだす,mengeluarkan (dari tempat)
撮る,とる,"mengambil (foto, video)"
取る,とる,mengambil
とる,とる,mencuri (informal)
取る,とる,melepas / mengupas
流す,ながす,menyiram
鳴く,なく,bernyanyi / mengeluarkan suara
泣く,なく,menangis
なくす,なくす,kalah
なくなる,なくなる,keluar dari
習う,ならう,belajar (dari guru/latihan)
並ぶ,ならぶ,berbaris / mengantri
なる　（休みになる）,なる　（やすみになる）,"berada (misalnya, sedang berlibur)"
鳴る,なる,berdering / berbunyi
なる　（職人になる）,なる　（しょくにんになる）,"menjadi (misalnya, menjadi seorang profesional)"
握る,にぎる,berakar
濁る　（水が濁る）,にごる　（みずがにごる）,"menjadi keruh (misalnya, air menjadi keruh)"
人気がある,にんきがある,populer
抜く,ぬく,mencabut / menarik keluar
脱ぐ／脱ぎます,ぬぐ／ぬぎます,lepas landas
盗む,ぬすむ,mencuri
熱がある,ねつがある,demam
狙う,ねらう,bertujuan
残る,のこる,tersisa / tetap tinggal
のどが渇く,のどがかわく,merasa haus
延ばす,のばす,memperpanjang / meregangkan
登る／登ります,のぼる／のぼります,mendaki
登る,のぼる,naik
飲みに行く／飲みに行きます,のみにいく／のみにいきます,pergi minum-minum
飲む／飲みます,のむ／のみます,minum
飲む　（薬を飲む）,のむ　（くすりをのむ）,"mengambil (misalnya, minum obat)"
乗る／乗ります,のる／のります,naik / menaiki
入る／入ります,はいる／はいります,masuk
入る,はいる,belok / berbalik
入る　（空気が入る）,はいる　（くうきがはいる）,"masuk ke dalam (misalnya, udara masuk ke dalam / mengembang)"
入る　（サークルに入る）,はいる　（サークルにはいる）,"bergabung (misalnya, bergabung dengan sebuah kelompok)"
はがす,はがす,mengelupas / melepas
はく　（くつをはく）,はく　（くつをはく）,"memakai (misalnya, memakai sepatu)"
はさむ,はさむ,menjepit
始まる,はじまる,dimulai
走る,はしる,berlari
はずす,はずす,melepas / mencopot
働く,はたらく,bekerja (fisik/umum)
話す／話します,はなす／はなします,berbicara
はやす　（ひげをはやす）,はやす　（ひげをはやす）,"memiliki (misalnya, memiliki janggut)"
払う,はらう,membayar
貼る,はる,ditempel
光る,ひかる,bersinar
引く／引,ひく,menarik
弾く,ひく,memainkan (alat musik)
病気にかかる,びょうきにかかる,jatuh sakit
開く／開,ひらく,membuka / membentangkan
開く,ひらく,mengadakan / membuka (acara)
拾う,ひろう,memungut (dari lantai)
吹く,ふく,meniup
降る,ふる,"jatuh (hujan/salju, dll.)"
減らす,へらす,mengurangi
勉強になる,べんきょうになる,belajar banyak
曲がる,まがる,berbelok
巻く,まく,menggulung
待つ,まつ,menunggu
守る,まもる,melindungi
守る　（ルールを守る）,まもる　（ルールをまもる）,"mengikuti (misalnya, mengikuti aturan)"
守る　（身を守る）,まもる　（みをまもる）,"melindungi (misalnya, melindungi diri sendiri)"
回す,まわす,berputar
水を切る,みずをきる,mengeringkan
道に迷う,みちにまよう,tersesat
見つかる,みつかる,menemukan
見て回る,みてまわる,melihat sekeliling
見渡す,みわたす,mengabaikan
むく,むく,mengupas
蒸す,むす,mengukus
申し込む,もうしこむ,mendaftar / mengajukan diri
申し込む,もうしこむ,mendaftarkan diri
申す,もうす,dipanggil
持ち歩く,もちあるく,membawa (ke mana-mana)
持ち出す,もちだす,membawa keluar
持ち運ぶ,もちはこぶ,membawa (memindahkan)
餅をつく,もちをつく,menumbuk
もつ,もつ,menjadi baik untuk
持つ,もつ,memiliki / memegang
持つ,もつ,membawa
持つ　（店を持つ）,もつ　（みせをもつ）,"memiliki (misalnya, memiliki toko sendiri)"
持って行く,もっていく,membawa (sesuatu)
戻す,もどす,mengembalikan (ke tempat)
戻る,もどる,kembali
もらう,もらう,menerima (pemberian)
盛り上がる,もりあがる,meramaikan / bersukacita
焼く,やく,memanggang / memasak
役に立つ,やくにたつ,berguna
休みを取る,やすみをとる,mengambil cuti / libur
休む,やすむ,beristirahat
休む,やすむ,mengambil cuti sehari
やむ,やむ,berhenti (hujan/suara)
やる,やる,melakukan (informal)
ゆがむ,ゆがむ,menjadi terdistorsi
呼ぶ,よぶ,memanggil (ke sini)
呼ぶ,よぶ,memanggil / menyapa (dengan sebutan)
読む／読みます,よむ／よみます,membaca
寄る,よる,mampir
連絡をとる,れんらくをとる,menghubungi (langsung)
わかる,わかる,memahami
渡る,わたる,menyeberang / melewati
輪になる,わになる,membentuk lingkaran
笑う,わらう,tertawa
間をあける,あいだをあける,mengambil dalam interval waktu tertentu
あきらめる,あきらめる,menyerah
あける,あける,mengosongkan / membebaskan
開ける,あける,membuka
あける,あける,memberi ruang / meluangkan
あげる,あげる,memberi
揚げる,あげる,menggoreng (deep fry)
預ける,あずける,menitipkan
温める／温めます,あたためる／あたためます,memanaskan (menghangatkan)
あわてる,あわてる,panik
いためる,いためる,menumis
行ってみる,いってみる,mencoba pergi
いる／います,いる／います,hadir
入れる／入,いれる,menyalakan / ON
入れる,いれる,memasukkan / menambahkan
受ける,うける,menerima (ujian/layanan)
生まれる,うまれる,dilahirkan
売れる,うれる,agar bisa menjual
起きる／起きます,おきる／おきます,bangun (tidur)
遅れる,おくれる,terlambat (dari jadwal)
抑える,おさえる,menahan / menekan kekuatan
教える,おしえる,memberitahu / memberi tahu
教える,おしえる,mengajar
お茶をいれる／いれます,おちゃをいれる／いれます,membuat teh
落ちる　（汚れが落ちる）,おちる　（よごれがおちる）,"dihilangkan (misalnya, kotoran dihilangkan)"
落ちる,おちる,jatuh (dari atas)
音を立てる,おとをたてる,membuat suara / berisik
覚える,おぼえる,menghafal
降りる／降ります,おりる／おります,turun (dari kendaraan)
下りる,おりる,turun (menuruni tangga/bukit)
隠れる,かくれる,berlindung
かける,かける,menaburkan
かける　（壁にかける）,かける　（かべにかける）,"berpegangan (misalnya, berpegangan pada dinding)"
かける　（めがねをかける）,かける　（めがねをかける）,"memakai (misalnya, memakai kacamata)"
かける　（ソースをかける）,かける　（ソースをかける）,"Menuangkan ke atas / menaburkan (misalnya, tuangkan saus ke atas)"
片付ける,かたづける,membereskan / merapikan
固める,かためる,mengeras
かぶせる,かぶせる,menutupi
借りる／借ります,かりる／かります,meminjam
考える,かんがえる,berpikir (mendalam)
感じる,かんじる,merasa
消える,きえる,memadamkan
着替える／着替えます,きがえる／きがえます,mengganti (pakaian)
決める,きめる,memutuskan
着る,きる,memakai (gaun)
切れる　（賞味期限が切れる）,きれる　（しょうみきげんがきれる）,"kedaluwarsa / berlalu (misalnya, tanggal kedaluwarsa telah berlalu)"
切れる　（電池が切れる）,きれる　（でんちがきれる）,"habis (misalnya, baterai sudah habis)"
気をつける,きをつける,berhati-hati / waspada
口に当てる,くちにあてる,menutupi mulut
口を付ける,くちをつける,memasukkan ke mulut
比べる,くらべる,membandingkan
くれる,くれる,diberikan
声をかける,こえをかける,berbicara dengan
答える,こたえる,menjawab
ご飯を食べる／食べます,ごはんをたべる／たべます,makan (nasi/makanan berat)
壊れる,こわれる,rusak / hancur
下げる　（熱を下げる）,さげる　（ねつをさげる）,"menurunkan (misalnya, menurunkan demam)"
下げる,さげる,menurunkan
しみこませる,しみこませる,menyerap
知らせる,しらせる,memberitahu / menginformasikan
調べる,しらべる,mencari tahu / menyelidiki
信じる,しんじる,percaya
捨てる,すてる,membuang
倒れる,たおれる,roboh / jatuh pingsan
炊ける　（ご飯が炊ける）,たける　（ごはんがたける）,"dimasak (misalnya, nasi dimasak)"
助ける,たすける,menolong
立てる　（計画を立てる）,たてる  （けいかくをたてる）,"membuat (misalnya, menyusun rencana)"
建てる,たてる,membangun
建てる　（家を建てる）,たてる　（いえをたてる）,"membangun (misalnya, membangun rumah)"
食べすぎる,たべすぎる,makan terlalu banyak
食べる／食べます,たべる／たべます,makan
疲れる,つかれる,menjadi lelah
つける　（たれにつける）,つける　（たれにつける）,"mencelupkan (misalnya, mencelupkan ke dalam saus)"
つける　（飾りをつける）,つける　（かざりをつける）,"memasang (misalnya, memasang dekorasi)"
伝える,つたえる,menyampaikan
続ける,つづける,melanjutkan
出かける,でかける,keluar
できる,できる,bisa melakukan sesuatu
できる,できる,selesai / jadi
できる　（店ができる）,できる　（みせができる）,"baru saja dibuka (misalnya, toko tersebut baru saja dibuka)"
出る　(せき／鼻水が出る）,でる　（せき／はなみずがでる）,mengalami (batuk / pilek)
出る　（水が出る）,でる　（みずがでる）,"sedang mengalir (misalnya, air sedang mengalir)"
出る　（カラオケ大会に出る）,でる　（カラオケたいかいにでる）,"berpartisipasi dalam (misalnya, berpartisipasi dalam kompetisi karaoke)"
出る　（賞品が出る）,でる　（しょうひんがでる）,"ditawarkan (misalnya, penghargaan ditawarkan)"
出る　（外に出る）,でる　（そとにでる）,"pergi meninggalkan/keluar (misalnya, pergi ke luar)"
閉じる／閉,とじる,menutup
停める,とめる,parkir
止める　（水を止める）,とめる　（みずをとめる）,"berhenti (misalnya, hentikan air)"
友だちができる,ともだちができる,berteman
とれる,とれる,terlepas / bisa diambil
並べる,ならべる,menyusun / menjejerkan
慣れる,なれる,membiasakan diri
逃げ遅れる,にげおくれる,gagal melarikan diri
逃げる,にげる,melarikan diri
煮る,にる,mendidih perlahan / merebus
寝る／寝ます,ねる／ねます,tidur
のせる,のせる,diletakkan di atas
飲みすぎる,のみすぎる,minum terlalu banyak
乗り換える／乗り換えます,のりかえる／のりかえます,transit / pindah kendaraan
始める,はじめる,memulai
～始める　（働き始める）,～はじめる　（はたらきはじめる）,memulai ～ (contoh: mulai bekerja)
離れる,はなれる,pindah
晴れる,はれる,membersihkan / adil
火が出る,ひがでる,terbakar / menjadi panas
広げる,ひろげる,memperluas
増える,ふえる,bertambah / meningkat
ぶつける,ぶつける,menabrak
ポストに入れる,ポストにいれる,mengirim pos / mengirim surat
混ぜる,まぜる,mencampur
まちがえる,まちがえる,salah paham
まとめる,まとめる,mengumpulkan / merangkum
見合わせる,みあわせる,menunda (menahan diri)
見える,みえる,melihat
見せる,みせる,menunjukkan
身につける,みにつける,menguasai / mempelajari
見る／見ます,みる／みます,ditonton
向ける,むける,mengarahkan ke
燃える　（燃えるごみ）,もえる　（もえるごみ）,"dapat dibakar (misalnya, sampah yang dapat dibakar)"
持ち上げる,もちあげる,mengangkat
やめる,やめる,berhenti melakukan / keluar
ゆでる,ゆでる,merebus
揺れる,ゆれる,mengguncang
汚れる,よごれる,menjadi kotor
分ける,わける,memisahkan
忘れる,わすれる,melupakan
割れる,われる,pecah
遊びに来る,あそびにくる,datang menemuiku
案内する,あんないする,menunjukkan / membimbing
行って来る,いってくる,pergi (dan kembali lagi nanti)
移動する,いどうする,pindah ke
引退する,いんたいする,pensiun
ウォーキングする,ウォーキングする,pergi jalan-jalan
打ち合わせをする／します,うちあわせをする／します,mengadakan pertemuan
運転する,うんてんする,mengemudi
運動する／運動します,うんどうする／うんどうします,berolahraga
営業する,えいぎょうする,membuka / menjalankan bisnis
延期する,えんきする,menunda (resmi)
延長する,えんちょうする,memperpanjang (waktu)
遠慮する,えんりょする,diminta tidak
お祝いする,おいわいする,merayakan (formal/memberi ucapan)
応募する,おうぼする,melamar
おしゃべりする,おしゃべりする,mengobrol
おじゃまする,おじゃまする,berkunjung
おしゃれをする,おしゃれをする,berdandan
おすすめする,おすすめする,merekomendasikan
音がする,おとがする,mengeluarkan suara / berbunyi
開催する,かいさいする,memegang
開始する,かいしする,memulai (resmi)
買い物する,かいものする,berbelanja
確認する,かくにんする,mengkonfirmasi
がまんする,がまんする,bersabar / mentolerir
感謝する,かんしゃする,menghargai
感染する,かんせんする,terinfeksi
感動する,かんどうする,sangat terharu
期待する,きたいする,mengharapkan / berharap
帰宅する,きたくする,pulang (formal)
記入する,きにゅうする,mengisi (formulir)
来る／来ます,くる／きます,datang
苦労する,くろうする,mengalami masa sulit
警戒する,けいかいする,berhati-hati
結婚する,けっこんする,menikah / menikah
検査する,けんさする,memeriksa (medis/teknis)
行動する,こうどうする,bertindak
ごちそうする,ごちそうする,mentraktir makan
コミュニケーションする,コミュニケーションする,berkomunikasi
再起動する,さいきどうする,memulai ulang
参加する,さんかする,bergabung
仕事をする,しごとをする,bekerja / menjalankan tugas
失敗する,しっぱいする,membuat kesalahan
指定する,していする,menentukan
じめじめする,じめじめする,lembap
シャドーイングする,シャドーイングする,membayangi
重視する,じゅうしする,memprioritaskan
就職する,しゅうしょくする,mendapatkan pekerjaan di sebuah perusahaan
充満する,じゅうまんする,memenuhi / mengisi penuh
終了する,しゅうりょうする,mengakhiri
出発する,しゅっぱつする,berangkat (perjalanan)
出品する,しゅっぴんする,menjual (listing/lelang)
準備する,じゅんびする,mempersiapkan / menyiapkan
紹介する,しょうかいする,memperkenalkan
消火する,しょうかする,memadamkan api
使用する,しようする,menggunakan (formal)
承認する,しょうにんする,menyetujui
上陸する,じょうりくする,ke darat
ジョギングする,ジョギングする,pergi jogging
進学する,しんがくする,melanjutkan ke pendidikan tinggi
親切にする,しんせつにする,bersikap baik kepada
する／します,する／します,melakukan
する　（ピアスをする）,する　（ピアスをする）,"memakai (misalnya, memakai anting-anting)"
生産する,せいさんする,menghasilkan
節水する,せっすいする,menghemat air
設定する,せっていする,mengatur / menyetel
節電する,せつでんする,menghemat listrik
セットする,セットする,menyetel (manual)
説明する／説明します,せつめいする／せつめいします,menjelaskan
節約する,せつやくする,menyimpan
掃除する／掃除します,そうじする／そうじします,membersihkan
早退する,そうたいする,pergi lebih awal
相談する,そうだんする,berkonsultasi
卒業する,そつぎょうする,lulus
ダイエットする,ダイエットする,menjalani diet
体験する,たいけんする,mengalami
大切にする,たいせつにする,menjaga dengan baik
タッチする／タッチします,タッチする／タッチします,mengetuk / menyentuh
断水する,だんすいする,terjadi pemadaman air
チェックする,チェックする,mengecek
遅刻する,ちこくする,terlambat (formal)
注文する,ちゅうもんする,memesan (makanan/barang)
貯金する,ちょきんする,menghemat uang
提出する,ていしゅつする,mengumpulkan (tugas/dokumen)
停電する,ていでんする,terjadi pemadaman listrik
デートする,デートする,pergi berkencan
点呼する,てんこする,melakukan absensi
展示する,てんじする,memamerkan
電話する／電話します,でんわする／でんわします,menelepon
投稿する,とうこうする,memposting
到着する,とうちゃくする,tiba (formal)
取って来る,とってくる,mengambil dan kembali
入院する,にゅういんする,dirawat di rumah sakit
入力する,にゅうりょくする,memasukkan (data)
妊娠する,にんしんする,hamil
ねぼうする,ねぼうする,ketiduran
拝借する,はいしゃくする,meminjam (sopan/formal)
入って来る,はいってくる,masuk ke dalam
吐き気がする,はきけがする,mengalami mual
発車する,はっしゃする,berangkat (kendaraan)
発生する,はっせいする,terjadi
低くする,ひくくする,merendahkan / membuat lebih rendah
びっくりする,びっくりする,kaget (informal)
避難する,ひなんする,mengungsi / mencari perlindungan
日焼けする,ひやけする,mendapatkan kulit yang kecoklatan
表示する,ひょうじする,menampilkan
フタをする,フタをする,menutupnya
噴射する,ふんしゃする,menyemprot
分別する,ぶんべつする,mengurutkan
勉強する／勉強します,べんきょうする／べんきょうします,belajar (studi)
報告する,ほうこくする,melaporkan
待ち合わせする,まちあわせする,bertemu (satu sama lain)
マッサージする,マッサージする,memijat
まねをする,まねをする,meniru
無理をする,むりをする,memaksakan diri
持って来る,もってくる,membawa (ke sini)
優勝する,ゆうしょうする,memenangkan hadiah pertama
ゆっくりする／ゆっくりします,ゆっくりする／ゆっくりします,bersantai
用意する,よういする,mempersiapkan / menawarkan
予定する,よていする,akan dijadwalkan
予防する,よぼうする,mencegah
予約する,よやくする,membuat reservasi
楽にする,らくにする,merasa seperti di rumah sendiri
リサイクルする,リサイクルする,mendaur ulang
留学する,りゅうがくする,pergi ke luar negeri belajar
流行する,りゅうこうする,menjadi lazim
旅行する／旅行します,りょこうする／りょこうします,bepergian
連絡する,れんらくする,menghubungi / memberi kabar
加熱（する）,かねつ（する）,memanaskan (suhu tinggi)
帰国（する）,きこく（する）,kembali ke negara seseorang
吸引（する）,きゅういん（する）,hisap (menyedot)
休憩（する）,きゅうけい（する）,beristirahat / jeda
協力（する）,きょうりょく（する）,bekerja sama
結婚（する）,けっこん（する）,menikah
見学（する）,けんがくする,mengamati
合格（する）,ごうかく（する）,melewati
購入（する）,こうにゅう（する）,membeli (formal)
ごろごろ（する）／ごろごろ（します）,ごろごろ（する）／ごろごろ（します）,bermalas-malasan
再生（する）,さいせい（する）,mendaur ulang / meregenerasi
試着（する）,しちゃく（する）,mencoba (pakaian)
集合（する）,しゅうごう（する）,merakit
充電（する）,じゅうでん（する）,menuntut
生活（する）,せいかつ（する）,menjalani kehidupan
断水（する）,だんすい（する）,pemadaman air (memutus pasokan air)
注意（する）,ちゅうい（する）,memperhatikan / berhati-hati
調理（する）,ちょうり（する）,memasak
通話（する）,つうわ（する）,berbicara di telepon
両替（する）,りょうがえ（する）,menukar uang
利用（する）,りよう（する）,menggunakan (memanfaatkan layanan)
